ad_id,event_id,ad_category,clicked
1,30,Education,True
2,33,Food,False
3,42,Fashion,True
4,47,Travel,False
5,50,Fashion,False
6,51,Education,False
7,56,Gaming,False
8,57,Travel,False
9,59,Technology,True
10,61,Entertainment,False
11,62,Finance,True
12,63,Entertainment,False
13,92,Entertainment,False
14,93,Travel,False
15,99,Finance,False
16,114,Technology,True
17,116,Gaming,False
18,128,Travel,False
19,133,Technology,False
20,135,Finance,False
21,150,Gaming,False
22,157,Gaming,False
23,160,Gaming,False
24,164,Finance,False
25,175,Technology,False
26,176,Food,False
27,186,Finance,False
28,189,Technology,False
29,197,Entertainment,False
30,199,Technology,False
31,200,Gaming,False
32,203,Education,False
33,225,Food,False
34,231,Fashion,False
35,260,Fashion,False
36,270,Entertainment,False
37,274,Education,False
38,284,Education,False
39,299,Food,True
40,306,Technology,False
41,317,Fashion,False
42,327,Technology,False
43,335,Finance,True
44,341,Gaming,False
45,347,Finance,True
46,349,Technology,True
47,352,Food,True
48,355,Food,False
49,362,Technology,True
50,370,Food,True
51,371,Food,False
52,372,Entertainment,True
53,379,Finance,False
54,391,Technology,True
55,402,Travel,False
56,404,Technology,True
57,405,Entertainment,False
58,422,Fashion,False
59,428,Fashion,False
60,438,Technology,False
61,447,Entertainment,False
62,449,Gaming,False
63,450,Food,False
64,452,Education,False
65,453,Education,False
66,479,Travel,False
67,487,Technology,False
68,492,Food,False
69,501,Food,True
70,503,Education,False
71,510,Fashion,False
72,529,Entertainment,False
73,532,Entertainment,False
74,537,Gaming,False
75,561,Education,True
76,586,Technology,False
77,590,Fashion,False
78,597,Travel,False
79,598,Fashion,False
80,603,Travel,False
81,606,Entertainment,False
82,607,Education,False
83,620,Fashion,True
84,626,Finance,False
85,627,Entertainment,False
86,629,Entertainment,False
87,633,Education,False
88,635,Education,False
89,638,Education,False
90,642,Entertainment,False
91,648,Education,False
92,655,Entertainment,False
93,664,Travel,False
94,668,Entertainment,False
95,671,Finance,False
96,681,Gaming,True
97,685,Technology,True
98,694,Technology,False
99,697,Finance,False
100,716,Gaming,False
101,719,Education,True
102,726,Food,False
103,735,Finance,True
104,739,Food,False
105,745,Gaming,False
106,763,Entertainment,True
107,764,Fashion,False
108,770,Technology,False
109,778,Education,False
110,782,Fashion,False
111,785,Fashion,False
112,789,Education,False
113,790,Technology,False
114,795,Technology,False
115,798,Travel,False
116,810,Technology,False
117,814,Entertainment,False
118,826,Entertainment,False
119,834,Entertainment,False
120,837,Travel,False
121,838,Entertainment,False
122,842,Fashion,False
123,853,Gaming,False
124,855,Education,False
125,858,Technology,False
126,881,Travel,False
127,886,Travel,False
128,887,Fashion,False
129,889,Food,False
130,893,Entertainment,False
131,906,Travel,False
132,922,Finance,True
133,932,Fashion,False
134,944,Travel,False
135,950,Gaming,False
136,970,Travel,False
137,977,Entertainment,False
138,978,Finance,False
139,983,Entertainment,True
140,1022,Travel,True
141,1031,Entertainment,False
142,1033,Technology,False
143,1042,Finance,False
144,1045,Gaming,False
145,1048,Technology,True
146,1051,Finance,False
147,1058,Finance,False
148,1060,Fashion,False
149,1085,Technology,False
150,1086,Entertainment,False
151,1089,Entertainment,False
152,1100,Education,False
153,1104,Entertainment,False
154,1105,Education,True
155,1126,Travel,False
156,1157,Travel,False
157,1159,Food,False
158,1170,Education,False
159,1172,Food,False
160,1185,Travel,False
161,1213,Food,False
162,1219,Technology,False
163,1220,Education,False
164,1225,Technology,False
165,1231,Travel,False
166,1252,Education,False
167,1260,Entertainment,False
168,1270,Technology,True
169,1273,Finance,False
170,1274,Education,False
171,1286,Gaming,False
172,1288,Food,False
173,1290,Food,True
174,1297,Travel,False
175,1299,Education,False
176,1301,Technology,False
177,1302,Technology,False
178,1328,Technology,False
179,1353,Finance,False
180,1355,Food,False
181,1358,Fashion,False
182,1359,Food,False
183,1362,Education,True
184,1378,Education,False
185,1381,Technology,False
186,1382,Fashion,False
187,1387,Finance,False
188,1395,Travel,True
189,1399,Finance,False
190,1407,Travel,False
191,1434,Technology,False
192,1437,Entertainment,False
193,1440,Education,False
194,1444,Food,False
195,1445,Education,False
196,1459,Education,False
197,1486,Fashion,False
198,1491,Finance,False
199,1497,Education,False
200,1499,Technology,False
201,1501,Education,False
202,1503,Technology,False
203,1506,Finance,False
204,1525,Gaming,False
205,1527,Entertainment,False
206,1534,Fashion,False
207,1535,Education,False
208,1536,Entertainment,False
209,1559,Education,False
210,1568,Entertainment,False
211,1575,Finance,False
212,1576,Technology,False
213,1577,Entertainment,True
214,1578,Education,False
215,1579,Education,False
216,1585,Travel,False
217,1588,Fashion,False
218,1594,Entertainment,False
219,1603,Entertainment,True
220,1606,Finance,False
221,1613,Entertainment,False
